Term,Duration,Duration between return of the writs and dissolution,Number of Sessions,Number of Speeches from the Throne,Budgets or Economic Statements,Date of First Budget,Days between election and first budget,Days between start of parliament and first budget,Senate Nominations,Senators appointed by Prime Minister,Government Type,Government Party,Prime Minister,Leader(s) of the Official Opposition,Official Opposition Party,Election Writs issued,General Election Date,By-Elections,Return of the Writs
Parliament: 43,,,,,,,,,,,,,,,,,,,
2019-12-05,"302 days (9 months, 28 days)",,2,2,2,,0,0,2,"Trudeau, Justin (2)",Minority,Liberal Party of Canada,"Trudeau, Justin","Scheer, Andrew (2017-05-27 - 2020-08-23)
O'Toole, Erin (2020-08-24 - )",Conservative Party of Canada,2019-09-11,2019-10-21,0,2019-11-11
Parliament: 42,,,,,,,,,,,,,,,,,,,
2015-12-03 - 2019-09-11,"1378 days (3 years, 9 months, 8 days)","1402 days (3 years, 10 months, 2 days)",1,1,7,2016-03-22,155,110,50,"Trudeau, Justin (50)",Majority,Liberal Party of Canada,"Trudeau, Justin","Ambrose, Rona (2015-11-05 - 2017-05-26)
Scheer, Andrew (2017-05-27 - 2020-08-23)",Conservative Party of Canada,2015-08-02,2015-10-19,18,2015-11-09
Parliament: 41,,,,,,,,,,,,,,,,,,,
2011-06-02 - 2015-08-02,"1522 days (4 years, 2 months)","1532 days (4 years, 2 months, 10 days)",2,2,9,2011-06-06,35,4,21,Stephen Harper (21),Majority,Conservative Party of Canada,"Harper, Stephen","Layton, Jack (2011-05-02 - 2011-08-22)
Turmel, Nycole (2011-08-23 - 2012-03-23)
Mulcair, Thomas J. (2012-03-24 - 2015-10-18)",New Democratic Party,2011-03-26,2011-05-02,15,2011-05-23
Parliament: 40,,,,,,,,,,,,,,,,,,,
2008-11-18 - 2011-03-26,"858 days (2 years, 4 months, 6 days)","872 days (2 years, 4 months, 20 days)",3,3,6,2008-11-27,44,9,36,Stephen Harper (36),Minority,Conservative Party of Canada,"Harper, Stephen","Dion, Stéphane (2006-12-02 - 2008-12-09)
Ignatieff, Michael (2008-12-10 - 2011-05-01)",Liberal Party of Canada,2008-09-07,2008-10-14,7,2008-11-04
Parliament: 39,,,,,,,,,,,,,,,,,,,
2006-04-03 - 2008-09-07,"888 days (2 years, 5 months, 6 days)","937 days (2 years, 6 months, 24 days)",2,2,5,2006-05-02,99,29,2,Stephen Harper (2),Minority,Conservative Party of Canada,"Harper, Stephen","Graham, Bill (2006-02-06 - 2006-12-01)
Dion, Stéphane (2006-12-02 - 2008-12-09)",Liberal Party of Canada,2005-11-29,2006-01-23,9,2006-02-13
