Cabinet Shuffle Date,Cabinet Size,Ministry Size
Ministry: 29th Ministry (2015-11-04 - ),,
Parliament: 42 (2015-12-03 - 2019-09-11),,
4/26/2019,34,34
3/18/2019,35,35
3/4/2019,34,34
3/1/2019,35,35
2/12/2019,35,35
1/14/2019,36,36
7/18/2018,35,35
1/25/2018,30,30
8/27/2017,31,31
8/23/2017,29,29
1/9/2017,30,30
8/18/2016,30,30
5/30/2016,30,30
11/4/2015,31,31
Ministry: 28th Ministry (2006-02-06 - 2015-11-03),,
Parliament: 41 (2011-06-02 - 2015-08-02),,
2/8/2015,26,39
2/2/2015,26,39
1/4/2015,27,40
3/18/2014,26,39
7/14/2013,26,39
3/13/2013,26,37
2/21/2013,27,38
2/14/2013,26,37
7/3/2012,27,38
5/18/2011,27,39
Parliament: 40 (2008-11-18 - 2011-03-26),,
1/3/2011,27,38
11/4/2010,26,36
8/5/2010,27,37
4/8/2010,27,37
1/18/2010,27,38
10/30/2008,27,38
Parliament: 39 (2006-04-03 - 2008-09-07),,
2/29/2008,27,32
1/4/2007,27,32
11/27/2006,27,27
2/6/2006,26,26
Ministry: 27th Ministry (2003-12-12 - 2006-02-05),,
Parliament: 38 (2004-10-04 - 2005-11-29),,
6/28/2005,32,38
5/17/2005,31,39
1/4/2005,29,38
7/20/2004,30,39
Parliament: 37 (2001-01-29 - 2004-05-23),,
12/12/2003,30,39
Ministry: 26th Ministry (1993-11-04 - 2003-12-11),,
Parliament: 37 (2001-01-29 - 2004-05-23),,
6/1/2002,28,38
1/9/2001,29,37
Parliament: 36 (1997-09-22 - 2000-10-22),,
7/23/2000,28,37
10/5/1999,28,37
6/11/1997,28,37
Parliament: 35 (1994-01-17 - 1997-04-27),,
2/1/1996,25,34
2/21/1995,24,33
9/15/1994,23,32
2/12/1994,23,31
11/4/1993,23,31
Ministry: 25th Ministry (1993-06-25 - 1993-11-03),,
Parliament: 34 (1988-12-12 - 1993-09-08),,
6/25/1993,24,24
Ministry: 24th Ministry (1984-09-17 - 1993-06-24),,
Parliament: 34 (1988-12-12 - 1993-09-08),,
1/3/1993,30,35
2/28/1992,32,39
4/20/1991,32,39
2/25/1991,31,38
9/20/1990,31,38
5/22/1990,30,38
2/23/1990,31,39
1/23/1990,28,37
8/1/1989,28,38
1/29/1989,29,39
12/8/1988,22,33
Parliament: 33 (1984-11-05 - 1988-10-01),,
9/15/1988,27,40
6/27/1988,29,40
8/26/1987,26,38
6/29/1986,26,38
8/19/1985,26,37
9/17/1984,28,40
Ministry: 22nd Ministry (1980-03-03 - 1984-06-29),,
Parliament: 32 (1980-04-14 - 1984-07-09),,
12/31/1983,37,37
10/31/1982,36,36
8/31/1981,36,36
6/30/1980,33,33
Ministry: 20th Ministry (1968-04-20 - 1979-06-03),,
Parliament: 30 (1974-09-30 - 1979-03-26),,
1/31/1978,33,33
3/31/1977,32,32
1/31/1976,28,28
1/31/1975,29,29
Parliament: 29 (1973-01-04 - 1974-05-09),,
12/31/1973,30,30
Parliament: 28 (1968-09-12 - 1972-09-01),,
1/31/1972,30,30
12/31/1970,29,29
12/31/1969,30,30
12/31/1968,29,29
Ministry: 19th Ministry (1963-04-22 - 1968-04-19),,
Parliament: 27 (1966-01-18 - 1968-04-23),,
12/31/1967,28,28
12/31/1966,27,27
Parliament: 26 (1963-05-16 - 1965-09-08),,
12/31/1964,26,26
1/31/1964,26,26
Ministry: 18th Ministry (1957-06-21 - 1963-04-21),,
Parliament: 25 (1962-09-27 - 1963-02-06),,
12/31/1962,21,21
Parliament: 24 (1958-05-12 - 1962-04-19),,
11/30/1961,24,24
12/31/1960,24,24
10/31/1959,23,23
10/31/1958,23,23
Parliament: 23 (1957-10-14 - 1958-02-01),,
11/30/1957,22,22
Ministry: 17th Ministry (1948-11-15 - 1957-06-20),,
Parliament: 22 (1953-11-12 - 1957-04-12),,
11/30/1956,19,19
11/30/1955,19,19
11/30/1954,20,20
11/30/1953,21,21
Parliament: 21 (1949-09-15 - 1953-06-13),,
11/30/1952,21,21
11/30/1951,20,20
11/30/1950,21,21
11/30/1949,21,21
Parliament: 20 (1945-09-06 - 1949-04-30),,
11/30/1948,20,20
Ministry: 16th Ministry (1935-10-23 - 1948-11-14),,
Parliament: 20 (1945-09-06 - 1949-04-30),,
11/30/1947,20,20
12/31/1946,20,20
1/3/1946,20,20
Parliament: 19 (1940-05-16 - 1945-04-16),,
3/8/1945,20,20
1/23/1944,20,20
1/11/1943,20,20
1/11/1942,19,19
1/7/1941,18,18
5/15/1940,16,16
Parliament: 18 (1936-02-06 - 1940-01-25),,
1/7/1940,16,16
1/6/1939,16,16
1/6/1938,16,16
1/6/1937,16,16
Ministry: 15th Ministry (1930-08-07 - 1935-10-22),,
Parliament: 17 (1930-09-08 - 1935-08-14),,
12/14/1934,19,19
12/14/1933,19,19
12/14/1931,19,19
12/19/1930,19,19
Ministry: 14th Ministry (1926-09-25 - 1930-08-06),,
Parliament: 16 (1926-12-09 - 1930-05-30),,
1/6/1930,18,18
12/14/1927,18,18
12/31/1926,18,18
Ministry: 12th Ministry (1921-12-29 - 1926-06-28),,
Parliament: 15 (1926-01-07 - 1926-07-02),,
3/28/1926,16,16
Parliament: 14 (1922-03-08 - 1925-09-05),,
2/28/1925,20,20
5/13/1924,19,19
5/8/1923,18,18
5/31/1922,19,19
Ministry: 11th Ministry (1920-07-10 - 1921-12-28),,
Parliament: 13 (1918-03-18 - 1921-10-04),,
5/24/1921,16,16
Ministry: 10th Ministry (1917-10-12 - 1920-07-09),,
Parliament: 13 (1918-03-18 - 1921-10-04),,
5/14/1920,17,19
5/23/1919,20,24
6/30/1918,21,21
Ministry: 09th Ministry (1911-10-10 - 1917-10-11),,
Parliament: 12 (1911-11-15 - 1917-10-06),,
5/31/1917,18,18
2/27/1915,18,19
11/29/1913,18,19
12/31/1911,18,18
Ministry: 08th Ministry (1896-07-11 - 1911-10-06),,
Parliament: 11 (1909-01-20 - 1911-07-29),,
3/22/1910,15,15
Parliament: 10 (1905-01-11 - 1908-09-17),,
10/14/1907,14,15
Parliament: 09 (1901-02-06 - 1904-09-29),,
12/31/1902,14,15
